1:	INT. NINETEENTH FLOOR:	['BUD (V.O.)', 'BUD (V.O.)', 'BUD (V.O.)', 'BUD (V.O.)', 'BUD (V.O.)', 'BUD (V.O.)']
2:	INT. THE APARTMENT - EVENING:	['KIRKEBY', 'KIRKEBY', 'SYLVIA', 'KIRKEBY', 'SYLVIA', 'KIRKEBY', 'SYLVIA', 'KIRKEBY']
3:	EXT. BROWNSTONE HOUSE - EVENING:	['MRS. LIEBERMAN', 'BUD', 'MRS. LIEBERMAN', 'BUD', 'MRS. LIEBERMAN']
4:	INT. SECOND FLOOR LANDING - EVENING:	['KIRKEBY', 'SYLVIA', 'KIRKEBY', 'SYLVIA', 'SYLVIA', 'KIRKEBY']
5:	EXT. BROWNSTONE HOUSE - EVENING:	['KIRKEBY', 'SYLVIA', 'KIRKEBY', 'SYLVIA', 'KIRKEBY', 'SYLVIA', 'KIRKEBY', 'SYLVIA', 'KIRKEBY']
6:	INT. VESTIBULE - EVENING:	None
7:	INT. SECOND FLOOR LANDING - EVENING:	['BUD', 'MRS. DREYFUSS', 'BUD', 'MRS. DREYFUSS', 'BUD']
8:	INT. THE APARTMENT - EVENING:	['KIRKEBY', 'BUD', 'KIRKEBY', 'BUD', 'KIRKEBY', 'BUD', 'KIRKEBY', 'BUD', 'KIRKEBY', 'BUD', 'KIRKEBY', 'BUD', 'KIRKEBY', 'BUD']
9:	INT. SECOND FLOOR LANDING - EVENING:	['DR. DREYFUSS', 'BUD', 'DR. DREYFUSS', 'BUD', 'DR. DREYFUSS', 'BUD', 'DR. DREYFUSS', 'BUD', 'DR. DREYFUSS', 'BUD', 'DR. DREYFUSS', 'BUD', 'DR. DREYFUSS', 'BUD', 'DR. DREYFUSS']
10:	INT. THE APARTMENT - EVENING:	['ANNOUNCER', 'ANNOUNCER', 'ANNOUNCER', 'BUD']
11:	INT. PHONE BOOTH IN A MANHATTAN BAR - NIGHT:	['DOBISCH', 'BUD']
12:	INT. PHONE BOOTH:	['DOBISCH', 'BUD']
13:	INT. PHONE BOOTH:	['DOBISCH', 'BUD']
14:	INT. PHONE BOOTH:	['DOBISCH', 'BUD']
15:	INT. PHONE BOOTH:	['DOBISCH', 'BUD']
16:	INT. PHONE BOOTH:	['DOBISCH', 'BLONDE', 'DOBISCH', 'BLONDE', 'DOBISCH', 'BUD']
17:	INT. PHONE BOOTH:	['DOBISCH']
18:	INT. THE APARTMENT:	['BUD', 'BUD', 'BUD', 'NOT TOO LOUD']
19:	EXT. BROWNSTONE HOUSE - NIGHT:	['BLONDE', 'DOBISCH', 'CABBIE', 'DOBISCH', 'DOBISCH', 'DOBISCH', 'DOBISCH', 'BLONDE', 'DOBISCH', 'BLONDE', 'DOBISCH']
20:	INT. SECOND FLOOR LANDING - NIGHT:	['DOBISCH', 'DOBISCH', 'BLONDE', 'DOBISCH', 'BLONDE', 'DOBISCH', 'BLONDE', 'DR. DREYFUSS']
21:	EXT. CENTRAL PARK - NIGHT:	None
22:	INT. LOBBY INSURANCE BUILDING - DAY:	['BUD', 'KIRKEBY', 'BUD', 'FRAN', 'FRAN', 'BUD', 'STARTER', 'FRAN']
23:	INT. ELEVATOR:	['BUD', 'FRAN', 'BUD', 'FRAN', 'BUD', 'FRAN', 'BUD', 'FRAN', 'BUD', 'FRAN', 'BUD', 'FRAN', 'BUD', 'FRAN', 'FRAN', 'KIRKEBY', 'FRAN', 'FRAN']
24:	INT. NINETEENTH FLOOR - DAY:	['KIRKEBY', 'BUD', 'KIRKEBY', 'BUD', 'KIRKEBY', 'BUD', 'KIRKEBY', 'BUD']
25:	INT. DOBISCH'S OFFICE - DAY:	['DOBISCH', 'BUD', 'DOBISCH', 'BUD', 'DOBISCH', 'BUD', 'DOBISCH', 'BUD', 'MESSENGER', 'BUD', 'BUD']
26:	INT. VANDERHOF'S OFFICE - DAY:	['VANDERHOF', 'BUD', 'VANDERHOF', 'BUD', 'VANDERHOF', 'BUD', 'VANDERHOF', 'BUD', 'VANDERHOF', 'BUD', 'BUD']
27:	INT. EICHELBERGER'S OFFICE - DAY:	['ASSOCIATE', 'EIGHELBERGER', 'BUD']
28:	INT. KIRKEBY'S OFFICE - DAY:	['KIRKEBY', 'KIRKEBY', 'BUD', 'KIRKEBY']
29:	INT. SWITCHBOARD ROOM:	['SYLVIA', 'SWITCHBOARD GIRL', 'SYLVIA', 'KIRKEBY', 'SYLVIA', 'KIRKEBY']
30:	INT. NINETEENTH FLOOR - DAY:	['BUD', 'MOFFETT', 'BUD', 'MOFFETT', 'BUD', 'MOFFETT', 'BUD', 'MOFFETT', 'BUD', 'MOFFETT', 'FRAN', 'BUD']
31:	INT. ELEVATOR - DAY:	['FRAN', 'BUD', 'FRAN', 'BUD', 'FRAN', 'BUD', 'FRAN', 'BUD', 'FRAN']
32:	INT. TWENTY-SEVENTH FLOOR FOYER - DAY:	['FRAN', 'BUD', 'FRAN', 'BUD', 'FRAN']
33:	INT. SHELDRAKE'S ANTEROOM - DAY:	['BUD', 'MISS OLSEN', 'BUD', 'MISS OLSEN']
34:	INT. SHELDRAKE'S OFFICE - DAY:	['SHELDRAKE', 'BUD', 'SHELDRAKE', 'BUD', 'SHELDRAKE', 'BUD', 'SHELDRAKE', 'BUD', 'SHELDRAKE', 'BUD', 'SHELDRAKE', 'BUD', 'SHELDRAKE', 'BUD', 'SHELDRAKE', 'BUD', 'SHELDRAKE', 'BUD', 'SHELDRAKE', 'BUD', 'SHELDRAKE', 'BUD', 'SHELDRAKE', 'BUD', 'SHELDRAKE', 'BUD', 'SHELDRAKE', 'BUD', 'SHELDRAKE', 'BUD', 'SHELDRAKE', 'BUD', 'SHELDRAKE', 'BUD', 'SHELDRAKE', 'BUD', 'SHELDRAKE', 'BUD', 'SHELDRAKE']
35:	INT. SHELDRAKE'S ANTEROOM - DAY:	['MISS OLSEN']
