AirForceOne_TXT, 1
Avengers, 1
Harold-and-Maude, 0
The-Iron-Giant, 1
TheTimeMachine, 0
TopGun, 1
ahdn, 0
alien, 1
american-pie_production, 0
apartment, 0
austinpowers, 0
batman, 1
blade_runner, 1
bourneidentity, 1
cider_house_rules, 0
crazy_love, 0
dead_poets_final, 0
empire_strikes_back, 1
fantasticfour, 1
goodfellas, 1
halloween, 0
hannibal_unproduced, 0
happy-campers_early, 0
heathers_early, 0
hellraiser_II, 1
house-on-haunted-hill, 0
hudson-hawk_early, 1
id4, 1
jerry_maguire, 0 
jp3, 1
logans_run, 1
miamivice, 1
mybestfriendswedding, 0
nightmare-on-elm-street, 0
raging_bull, 0
rocky, 0
rush_hour_2, 1
rush_hour, 1
rwbride, 0
s_seatl, 0
shawshank, 0
shining, 0
spiderman, 1
star_wars, 1
startrek01, 1
the-truman-show_early, 0
the-x-files, 0
thebigblue, 0
thehebrewhammer, 1
titanic, 0
